"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","typeStatus","dayIdentified","coordinatePrecision","geoFlag","class","previousCatalogNumber","individualCount","relatedCatalogItem"
"660","2019-12-06 15:24:18-03","MBM","MBM","155072","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","coronata","Barbacenia coronata","Ravenna","Mello-Silva, R.",NA,"Menezes, N.L.; et al.; et al.","7791",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Santo Antônio do Itambé",NA,NA,"MBM155072","MBM155072","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"661","2019-12-06 14:35:11-03","MBM","MBM","223798","S","Plantae",NA,NA,"Begoniaceae","Begonia","grisea","Begonia grisea","A. DC.","Jacques, E.L.",NA,"Souza, V.C.; et al.; et al.","8364","1995","03","12","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Estrada para o Pico Itambé",NA,NA,"MBM223798","MBM223798","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"662","2019-12-06 14:26:01-03","MBM","MBM","222220","S","Plantae",NA,NA,"Apocynaceae","Blepharodon","nitidum","Blepharodon nitidum","(Vell.) Macbr.","Farinaccio, M.A.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67390","1997","11","21","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Rodovia para Serro",NA,NA,"MBM222220","MBM222220","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"663","2019-12-06 15:01:58-03","MBM","MBM","183143","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","DC.","Souza, V.C.",NA,"Souza, V.C.; et al.; et al.","8397",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Estrada para o Pico do Itambé",NA,NA,"MBM183143","MBM183143","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"664","2019-12-06 15:01:58-03","MBM","MBM","183144","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","DC.","Souza, V.C.",NA,"Souza, V.C.; et al.; et al.","8396",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Estrada para o Pico do Itambé",NA,NA,"MBM183144","MBM183144","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"665","2019-12-06 14:37:53-03","MBM","MBM","22441","S","Plantae",NA,NA,"Campanulaceae","Centropogon","cornutus","Centropogon cornutus","(L.) Druce","Mcvaugh, R.",NA,"Hatschbach, G.","30100",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico Itambé",NA,NA,"MBM022441","MBM022441","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"666","2019-12-06 15:18:12-03","MBM","MBM","85667","S","Plantae",NA,NA,"Rubiaceae","Coccocypselum","pedunculare","Coccocypselum pedunculare","Cham. & Schltdl.","Kirkbride Jr., J.H.",NA,"Furlan, A.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Subida para o Pico Itambé",NA,NA,"MBM085667",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"667","2019-12-06 15:18:12-03","MBM","MBM","390487","S","Plantae",NA,NA,"Rubiaceae","Cordiera","concolor","Cordiera concolor","(Cham.) O. Kuntze","Calió, M.F.","2012","Pirani, J.R.; Ferrucci, M.S.; Rando, J.G.; Santos, M.F.; Ferrucci, M.S.; Rando, J.G.; Santos, M.F.","5942","2009","02","10","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Itambé, Trilha subindo pela encosta do pico, próximo à Ponte do Rebentão",NA,NA,"MBM390487","MBM390487","-43.340639","-18.398778","-43.340639","-18.398778","1804","1804",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"668","2019-12-06 14:47:40-03","MBM","MBM","219651","S","Plantae",NA,NA,"Fabaceae","Dalbergia","nigra","Dalbergia nigra","(Vel.) Allem. ex Benth.","Carvalho, A.M. de",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67387",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Santo Antônio do Itambé, rodovia para Serro",NA,NA,"MBM219651","MBM219651","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"669","2019-12-06 14:44:54-03","MBM","MBM","65343","S","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","olfersiana","Dalechampia olfersiana","Müll. Arg.","Webster, G.L.",NA,"Anderson, W.R.; et al.; et al.","35711","1972","02","09","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé",NA,NA,"MBM065343","MBM065343","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"670","2019-12-06 15:18:19-03","MBM","MBM","85630","S","Plantae",NA,NA,"Rubiaceae","Declieuxia","cacuminis","Declieuxia cacuminis cacuminis","Müll. Arg.","Kirkbride Jr., J.H.",NA,"Furlan, A.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Subida ao Pico Itambé",NA,NA,"MBM085630","MBM085630","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"cacuminis",NA,NA,NA,"19014","auto",NA,NA,NA,NA
"671","2019-12-06 14:35:42-03","MBM","MBM","77158","S","Plantae",NA,NA,"Bignoniaceae","Distictis","granulosa","Distictis granulosa","Bur. & K. Schum.","Gentry, A.",NA,"Anderson, W.R.","s.n.","1972","02","09","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé",NA,NA,"MBM077158","MBM077158","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"672","2019-12-06 14:26:10-03","MBM","MBM","311486","S","Plantae",NA,NA,"Apocynaceae","Ditassa","longisepala","Ditassa longisepala","(Hua) Fontella & Schwarz","Konno, T.","2005","Souza, V.C.; et al.; et al.","21033","1998","04","07","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé",NA,"Escandente; flores creme. Campo rupestre.","MBM311486","MBM311486","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,"10",NA,NA,"19014","auto",NA,NA,NA,NA
"673","2019-12-06 15:25:43-03","MBM","MBM","19053","S","Plantae",NA,NA,"Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","Hatschbach, G.",NA,"Hatschbach, G.","27508","1971","09","09","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Caminho ao Pico Itambé",NA,NA,"MBM019053","MBM019053","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"674","2019-12-06 14:42:45-03","MBM","MBM","72533","S","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","cuspidatum","Elaphoglossum cuspidatum","(Willd.) Moore","Anderson, W.R.",NA,"Anderson, W.R.; et al.; et al.","36005","1972","02","14","Southern America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé",NA,NA,"MBM072533","MBM072533","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"675","2019-12-06 14:35:42-03","MBM","MBM","81496","S","Plantae",NA,NA,"Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Gentry, A.",NA,"Anderson, W.R.; et al.; et al.","36040","1972","02","15","Southern America","Brazil","Minas Gerais","Santo Antônio de Itambé","Santo Antônio de Itambé",NA,NA,"MBM081496","MBM081496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","2019-11-01 15:33:01-03","PUC-RIO","FCAB","5851","PreservedSpecimen","Plantae",NA,"Angiospermae","Amaranthaceae","Hebanthe",NA,"Hebanthe",NA,"J.C. Siqueira","2015","V.C. Souza; P.H. Miyagi; J.P. Souza","8388","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Início da estrada para o Pico do Itambé",NA,"Arbusto com ramos prostados , ca 2m alt botões creme.; Beira da mata.","005851",NA,"-43.3067","-18.4658","-43.3067","-18.4658","800","1200",NA,"03",NA,"13",NA,NA,NA,NA,NA,NA
"677","2018-08-17 11:53:22-03","JBB","HEPH","17382","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Matelea","pedalis","Matelea pedalis","(E.Fourn.) Fontella & E.A.Schwarz","Konno, I",NA,"Hatschbach, G","27510","1971","09","09","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho ao Pico Itambé",NA,"volúvel, laticifera, flor creme;; Margem do rio;",NA,NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"678","2019-10-02 15:06:42-03","UFMG","BHCB","136665","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","polyanthus","Actinocephalus polyanthus","(Bong.) Sano",NA,NA,"Souza, VC de; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W","21091","1998","04","07","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé., Campo rupestre.",NA,"Erva bastante ramificada, ca. 40 cm alt. capítulos alvos. Roseta em brotação.",NA,NA,"-43.317194","-18.401556","-43.317194","-18.401556","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","2019-10-02 15:06:44-03","UFMG","BHCB","126884","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","variabilis","Actinocephalus variabilis","(Silveira) F.N.Costa",NA,NA,"Echternacht, LA; Bastos, TV","1759","2008","07","12","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé, Campo rupestre de altitude.",NA,"Brácteas involuncrais castanhas. Plantas conservadas em alcool antes de desidratadas.",NA,NA,"-43.349167","-18.398611","-43.349167","-18.398611","2060","2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","2019-10-02 15:01:06-03","UFMG","BHCB","162792","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy",NA,"2012","Romão, GO; Latvis, M; Gissi, D","2555","2010","04","08","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé., campo rupestre, entre rochas",NA,"Subarbusto, 10-20cm, cálice verde, corola rosada com centro alvescente, com duas linhas amareladas internamente, estames brancos, frutos castanho-escuros; Subarbusto, 10-20cm, cálice verde, corola rosada com centro alvescente, com dua","BHCB006277",NA,"-43.348333","-18.395833","-43.348333","-18.395833",NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"681","2019-12-16 17:41:39-03","UFMG","BHCB","200714","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"2012","Pirani, JR; Ferrucci, MS; Rando, JG; Santos, MF","5953","2009","02","10","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Itambé, trilha subindo pela encosta do pico, próxim a ponte do Rebetão (pequena ponte suspensa)",NA,"Arbusto 1,5 m. de altura. Capítulos passados creme.; Solo arenoso entre rochas.","BHCB200714","BHCB200714","-43.340639","-18.398778","-43.340639","-18.398778","1804","1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","2019-12-16 17:41:39-03","UFMG","BHCB","200736","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","minutiflora","Baccharis minutiflora","Mart.",NA,"2012","Pirani, JR; Ferrucci, MS; Rando, JG; Santos, MF","5938","2009","02","10","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Itambé, trilha subindo pela encosta do pico, próximo à ponte do Rebentão (pequena ponte suspensa).",NA,"Arbustos 30-40 cm de altura. Folhas filiformes. Capítulos creme.; Entre rochas.","BHCB200736","BHCB200736","-43.340639","-18.398778","-43.340639","-18.398778","1804","1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","2019-10-02 15:07:20-03","UFMG","BHCB","151162","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","wittigiana","Cattleya wittigiana","(Barb.Rodr.) Van den Berg",NA,"2015","Leal, BSS; Leles, BP; Fernandes, AC","9","2011","05","01","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Itambé.",NA,"Epífita de Vellozia compacta","BHCB026023",NA,"-43.362642","-18.445883","-43.362642","-18.445883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","2020-03-16 20:33:00-03","UFMG","BHCB","201761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","andromedea","Chamaecrista andromedea","(Mart. ex Benth.) H.S.Irwin & Barneby",NA,"2001","Souza, VC de; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W","21047","1998","04","07","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé",NA,"Arbusto densamente ramoso, ca. 1m de altura, flores amarelas; Campo rupestre","BHCB201761",NA,"-43.317194","-18.401556","-43.317194","-18.401556","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","2020-02-20 17:33:38-03","UFMG","BHCB","192645","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","hedysaroides","Chamaecrista hedysaroides","(Vogel) H.S.Irwin & Barneby",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","310","2018","06","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual Pico do Itambé",NA,"Arbusto, 1,10m, saxícola; flor amarela.; Campo Rupestre Quartzítico","BHCB192645",NA,"-43.340556","-18.458333","-43.340556","-18.458333","989","989",NA,"11",NA,"08",NA,NA,NA,NA,NA,NA
"686","2019-10-02 14:48:39-03","UFMG","BHCB","191655","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","aequicymosa","Ditassa aequicymosa","E.Fourn.",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","309","2018","06","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Liana, 2,00m. Flor verde.; Campo Rupestre Quartzítico","BHCB191655",NA,"-43.340278","-18.458056","-43.340278","-18.458056","973","973",NA,"07",NA,"17",NA,NA,NA,NA,NA,NA
"687","2019-10-02 14:48:42-03","UFMG","BHCB","191652","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","retusa","Ditassa retusa","Mart.",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","306","2018","06","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Liana, 1,80m. Frutos verde claro. Frutos em formação creme esverdeado.; Campo Rupestre Quartzítico","BHCB191652",NA,"-43.335556","-18.453333","-43.335556","-18.453333","820","820",NA,"07",NA,"17",NA,NA,NA,NA,NA,NA
"688","2019-10-02 15:06:05-03","UFMG","BHCB","191648","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","glandulosa","Dyckia glandulosa","L.B.Sm. & Reitz",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","301","2018","06","13","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Erva, 0,80m. Flor laranja. Frutos imaturos laranja. Indumento branco na face abaxial das folhas.; Campo Rupestre Quartzítico","BHCB191648",NA,"-43.347222","-18.398333","-43.347222","-18.398333","2041","2041",NA,"08",NA,"17",NA,NA,NA,NA,NA,NA
"689","2019-10-02 15:06:07-03","UFMG","BHCB","191653","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Encholirium","subsecundum","Encholirium subsecundum","(Baker) Mez",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","307","2018","06","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Erva, 1,20m. Flor verde. Fruto marrom. Frutos imaturos verdes. Folhas da roseta em coloração verde amarelado. Estrias longitudinais e indumento na face abaxial.; Campo Rupestre Quartzítico","BHCB191653",NA,"-43.339444","-18.456944","-43.339444","-18.456944","938","938",NA,"08",NA,"17",NA,NA,NA,NA,NA,NA
"690","2019-10-02 15:06:41-03","UFMG","BHCB","102001","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae",NA,NA,NA,NA,NA,NA,"Almeida, TE; Assis, FC; Heringer, G; Viana, MM; Teles, AM; Corrêa, VF","605","2006","10","07","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,"Rupícola em Mata nebular",NA,NA,"-43.332083","-18.397333","-43.332083","-18.397333","167","167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","2019-10-02 15:00:08-03","UFMG","BHCB","171420","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","nutans","Eugenia nutans","O.Berg",NA,"2019","Faria, JEQ; Proença, CEB; Villarroel, D","942","2010","11","10","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Estrada Santo Antonio - Serro Azul, Margem da estrada. Floresta ombrófila, solo argiloso, relevo acidentado.",NA,"Arvoreta ca. 2,5m de altura, botões florais verdes, hipanto creme, aparentemente aveludado (material para DNA).","BHCB016037",NA,"-43.281944","-18.443056","-43.281944","-18.443056",NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"692","2019-10-02 14:50:12-03","UFMG","BHCB","48393","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hololepis","pedunculata","Hololepis pedunculata","(DC. ex Pers.) DC.",NA,"1998","Souza, VC de; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W","21141","1998","04","07","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé.",NA,"Campo rupestre, beira de córrego. Arbustivo, ca. 2m. Flores lilases.; Arbusto, ca2m alt, flores lilases, beira de córrego","BHCB004780",NA,"-43.317222","-18.401667","-43.317222","-18.401667","1500","1500",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"693","2019-10-02 14:49:00-03","UFMG","BHCB","69964","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","subcordata","Ilex subcordata","Reissek",NA,NA,"Coelho, GC; Selbach, A","s.n.","2001","10","23","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé.",NA,"Exemplar estaminado, ca. 3 m, próximo a nascente, em campo rupestre, material testemunho Projeto DNA Ilex (UFRGS/UNIJUÍ)",NA,NA,NA,"-18.402222",NA,"-18.402222","1425","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","2019-10-02 14:49:00-03","UFMG","BHCB","69970","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","trichothyrsa","Ilex trichothyrsa","Loes.",NA,NA,"Coelho, GC; Selbach, A","s.n.","2001","10","23","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Itambé.",NA,"Mata ciliar. Arbusto, 1,5m. Planta estaminada; Mata ciliar. Arbusto 1,5 m. Planta estaminada",NA,NA,NA,"-18.454167",NA,"-18.454167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","2020-02-20 17:33:38-03","UFMG","BHCB","192644","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","DC.",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","291","2018","06","12","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual Pico do Itambé",NA,"Subarbusto, 1,00m, terrestre; flor amarela, fruto castanho.; Campo Rupestre Quartzítico","BHCB192644",NA,"-43.315","-18.401389","-43.315","-18.401389","1447","1447",NA,"11",NA,"30",NA,NA,NA,NA,NA,NA
"696","2019-10-02 15:06:47-03","UFMG","BHCB","191651","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Leiothrix","fulgida","Leiothrix fulgida","Ruhland",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","305","2018","06","13","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Erva, 0,15m. Flor branca.; Campo Rupestre Quartzítico","BHCB191651",NA,"-43.336111","-18.396667","-43.336111","-18.396667","1786","1786",NA,"07",NA,"23",NA,NA,NA,NA,NA,NA
"697","2019-10-02 14:50:24-03","UFMG","BHCB","162482","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","brunioides","Lychnophora brunioides","Mart.",NA,"2012","Romão, GO; Laivis, M; Gissi, D","2543","2010","04","08","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, Subida para o pico.",NA,"Arbusto, 1m, capítulos roxos.","BHCB005859",NA,"-43.348333","-18.395833","-43.348333","-18.395833",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA
"698","2019-10-02 15:00:15-03","UFMG","BHCB","171425","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea",NA,"Marlierea",NA,NA,"2010","Faria, JEQ; Proença, CEB; Villarroel, D","940","2010","11","10","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Estrada Santo Antonio - Serro Azul, Floresta ombrófil, solo argiloso, relevo acidentado.",NA,"Árvore ca de 3,5m de altura, botões florais verdes.","BHCB016042",NA,"-43.281944","-18.443056","-43.281944","-18.443056","805","805",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA
"699","2019-10-02 15:00:20-03","UFMG","BHCB","171435","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia",NA,"Myrcia","DC.",NA,"2010","Faria, JEQ; Proença, CEB; Villarroel, D","941","2010","11","10","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Estrada Santo Antonio - Serro Azul, Margem da estrada. Floresta Ombrófila, solo argiloso, relevo acidentado.",NA,"Árvore ca. 8m de altura, frutos imaturos verdes e maduros laranja avermelhados, fruto com sabor adstringente.","BHCB016060",NA,"-43.281944","-18.443056","-43.281944","-18.443056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","2019-10-02 14:48:52-03","UFMG","BHCB","191649","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Oxypetalum","glabrum","Oxypetalum glabrum","(Decne.) Malme",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","302","2018","06","13","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Liana, 1,10m. Flor creme esverdeada.; Campo Rupestre Quartzítico","BHCB191649",NA,"-43.345833","-18.398056","-43.345833","-18.398056","2009","2009",NA,"07",NA,"17",NA,NA,NA,NA,NA,NA
"701","2019-10-02 15:06:49-03","UFMG","BHCB","126903","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus",NA,"Paepalanthus",NA,NA,NA,"Echternacht, LA; Bastos, TV","1779","2008","07","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé, Campinas ao sul do Pico Itambé.",NA,"Plantas conservadas em álcool antes de desidratadas.; Erva. Caule alongado, pedúnculos argenteus, brácteas involucrais castanho-escuras.; Campo limpo, solo arenozo pedregosos quartzítico seco.","BHCB035178",NA,"-43.350833","-18.463056","-43.350833","-18.463056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","2019-10-02 15:06:49-03","UFMG","BHCB","191645","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","albidus","Paepalanthus albidus","Gardner",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","294","2018","06","12","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Erva, 0,05m. Flor branca.; Campo Rupestre Quartzítico","BHCB191645",NA,"-43.322778","-18.399444","-43.322778","-18.399444","1566","1566",NA,"07",NA,"23",NA,NA,NA,NA,NA,NA
"703","2019-10-02 15:06:49-03","UFMG","BHCB","191654","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","albidus","Paepalanthus albidus","Gardner",NA,"2018","Souza, JAM; Paiva, JAM; Silva, SHA","308","2018","06","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé",NA,"Erva, 0,05m. Flor branca. Ocorrendo sob o afloramento.; Campo Rupestre Quartzítico","BHCB191654",NA,"-43.339722","-18.4575","-43.339722","-18.4575","955","955",NA,"07",NA,"23",NA,NA,NA,NA,NA,NA
"704","2019-10-02 15:06:51-03","UFMG","BHCB","126900","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","brunnescens","Paepalanthus brunnescens","Ruhland",NA,"2010","Echternacht, LA; Bastos, TV","1776","2008","07","14","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Parque Estadual do Pico do Itambé, Pico do Itambé",NA,"Plantas conservadas em álcool antes de desidratadas.; Folhas oliváceas, pedúnculo e brácteas castanho-claras.; Cerrado. Sub-bosque de mata ciliar, solo arenoso quartzítico fino úmido.","BHCB052074",NA,"-43.3525","-18.458333","-43.3525","-18.458333","1070","1070",NA,"03",NA,"10",NA,NA,NA,NA,NA,NA
"705","2019-10-02 15:06:56-03","UFMG","BHCB","136699","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","scleranthus","Paepalanthus scleranthus","Ruhland",NA,NA,"Souza, VC de; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W","21133","1998","04","07","Southern America","Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé., Campo rupestre.",NA,"Erva; capítulos creme.",NA,NA,"-43.317194","-18.401556","-43.317194","-18.401556","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
